Ngram,Mutual Information
[ newline][newline ] http://someurl,-0.04030313952
ik ook ! ik,-0.02198823929
👍 🏻 👍 🏻,-0.02198823929
willen ik ook !,-0.02198823929
? ? ? ?,-0.02198823929
[ newline ] http://someurl,-0.02358356093
! ! ! !,-0.02584973195
] http://someurl # rt,-0.02693300898
? # dtv #,-0.02693300898
daily # strip #,-0.02693300898
in de stand van,-0.02693300898
hart toe ? word,-0.02693300898
warm hart toe ?,-0.02693300898
een @youtube-afspeellijst : http://someurl,-0.02693300898
toevoegen aan een @youtube-afspeellijst,-0.02693300898
ik hebben een video,-0.02693300898
hebben een video toevoegen,-0.02693300898
de stand van @thiememeulenhof,-0.02693300898
een video toevoegen aan,-0.02693300898
video toevoegen aan een,-0.02693300898
op de stand van,-0.02693300898
aan een @youtube-afspeellijst :,-0.02693300898
hebben ook een vriendenvereniging,-0.02693300898
zijn er klaar voor,-0.02693300898
newline ] http://someurl #,-0.02693300898
", authenticiteit en doorzettingsvermog",-0.02693300898
"lef , authenticiteit en",-0.02693300898
"door lef , authenticiteit",-0.02693300898
"talent door lef ,",-0.02693300898
onderwijsmuseum hebben ook een,-0.02693300898
ook een vriendenvereniging .,-0.02693300898
het onderwijsmuseum hebben ook,-0.02693300898
een vriendenvereniging . draagt,-0.02693300898
toe ? word dan,-0.02693300898
? word dan lid,-0.02693300898
word dan lid :,-0.02693300898
dan lid : http://someurl,-0.02693300898
een warm hart toe,-0.02693300898
ons een warm hart,-0.02693300898
u ons een warm,-0.02693300898
! rt @fmbrussel :,-0.02693300898
draagt u ons een,-0.02693300898
. draagt u ons,-0.02693300898
vriendenvereniging . draagt u,-0.02693300898
bloeiende talent door lef,-0.02693300898
http://someurl # daily #,-0.03110305489
vinden een @youtube-video van,-0.03110305489
😂 😂 😂 😂,-0.03477818128
onder ander schoolplat uit ons,-0.03477818128
schoolplat uit ons collectie,-0.03477818128
# daily # strip,-0.03477818128
"koninkrijk , met onder ander",-0.03477818128
ik vinden een @youtube-video,-0.03477818128
"het koninkrijk , met",-0.03477818128
"van het koninkrijk ,",-0.03477818128
ontstaan van het koninkrijk,-0.03477818128
het dordts patriciërshuis te,-0.03477818128
het ontstaan van het,-0.03477818128
met onder ander schoolplat uit,-0.03477818128
: het ontstaan van,-0.03477818128
zien : het ontstaan,-0.03477818128
te zien : het,-0.03477818128
patriciërshuis te zien :,-0.03477818128
dordts patriciërshuis te zien,-0.03477818128
", met onder ander schoolplat",-0.03477818128
in het dordts patriciërshuis,-0.03810187206
ons collectie : http://someurl,-0.04115935352
uit ons collectie :,-0.04115935352
[ newline][newline ] http://someurl,-0.05161920594
